clanId;gold
19;-28171
9;-66673
13;-95331
15;-85362
18;-56050
18;-73488
8;12095
22;-71094
19;58224
24;-47591
22;84950
24;-57756
25;-33278
6;-45822
10;12514
15;3179
2;-26288
25;-61379
13;37911
24;-81705
15;-66735
18;84897
1;76901
9;12181
12;-42898
22;57401
7;2504
13;-99598
8;-32412
4;-89400
12;-77163
25;67900
4;39344
12;-64724
21;-78234
15;-42959
24;86003
9;-45702
9;48026
3;19220
6;48088
15;-51588
1;56701
8;-76625
1;-98175
7;3235
5;-96362
24;40780
8;95770
18;67280
13;23751
6;33633
17;34690
21;71309
8;96476
1;-36819
1;92388
22;54233
15;16758
11;27310
18;98912
20;-32013
5;-53752
6;-86902
6;68894
24;-78173
17;89458
10;94970
10;-76011
11;-87902
6;-15138
2;2231
5;43625
12;-3084
11;96555
15;-97825
17;84954
15;65893
15;-93092
23;-13575
22;-2853
9;87554
5;-14952
8;77887
8;-72272
4;39340
8;81832
11;9915
9;-93094
11;23222
14;30200
23;57476
10;51883
20;-17157
10;41650
12;77451
3;46785
10;-31914
24;-78786
23;73792
16;58812
17;-95784
1;-90663
20;-20742
11;59660
19;-6484
8;93532
19;59272
25;49778
1;-14567
13;-88730
15;6401
6;14105
16;-48080
19;-87061
19;-7963
22;-63863
7;-62846
18;34040
18;-93243
12;-52689
21;-47595
11;-85963
24;-65336
10;98274
20;66873
4;24073
4;-36348
24;-13172
7;-97611
18;26214
25;74878
19;58098
21;54976
23;68121
4;-33725
24;17212
4;-61064
12;2582
2;42067
16;-93929
5;-76936
10;-85418
22;-60385
3;26251
11;-23815
20;96224
5;42592
16;71283
22;10323
10;-61585
20;-53696
15;93556
9;15494
14;-36548
7;-82438
8;5242
18;-65437
4;46054
2;53289
22;-15156
19;-34254
8;11383
14;40623
3;-20051
18;30213
21;39782
2;-73719
22;-38830
18;42010
8;-63570
23;95682
14;-28975
1;-65238
13;40589
2;33635
2;-77490
3;60638
15;-35601
24;-9840
1;-95487
5;-67421
15;27603
15;80883
24;47876
7;8848
10;75957
5;95217
12;56281
9;39133
9;-28513
7;-82198
12;-43442
6;-61246
21;22566
1;90002
7;58649
9;77230
14;71963
24;83855
16;9871
6;95349
15;-23081
15;50781
24;-84670
25;-17472
24;6591
11;-78599
3;84955
10;42684
8;92741
25;-69107
19;31237
8;-34512
12;52183
11;5497
12;-86744
2;41718
15;304
4;42173
21;-12499
21;58563
3;-44671
22;95600
4;-54802
18;81171
22;-46131
13;-72940
16;17477
8;-10271
20;31297
7;64868
25;-32020
21;-18476
2;-3739
13;-17175
21;97764
10;-85239
18;90430
20;-11034
21;-55698
21;-66074
22;-24140
15;7524
15;9527
18;70239
22;65823
7;-30531
18;89988
3;4638
10;4012
24;-30449
7;91878
12;94958
2;-79948
11;-59145
20;34375
3;44008
13;-35123
7;50201
4;94747
19;27067
18;68256
19;27869
17;43126
2;-12241
15;78950
3;-43404
5;-73891
10;-79531
4;-57232
6;-30333
19;-76241
1;-43656
1;38907
7;72741
19;72927
13;-89712
17;83004
5;-14385
22;-84655
4;52840
5;-62495
19;-43077
7;-40778
20;-70780
11;-62624
11;-57811
12;70312
11;88561
5;-40472
9;-75412
10;-9835
13;-43763
13;-93381
8;88483
1;34582
22;42753
1;62835
2;26949
14;68123
6;69678
12;94346
19;21336
12;99911
19;71122
6;73276
21;77639
5;-30373
17;-31086
19;-62746
10;22662
20;60314
3;-4107
13;51903
6;28752
22;-37227
13;-80822
5;-89636
16;31467
21;76368
16;77524
25;52840
13;50594
15;-66049
18;90258
17;-70242
16;25112
24;-63494
9;-82022
4;87270
18;4295
20;65900
11;67102
25;-71802
5;-43739
10;-44734
24;97633
22;68464
10;29167
15;-56916
14;-35257
22;-59108
10;-69573
19;69421
24;64632
20;-27286
4;95086
13;-88480
22;-69346
24;-21770
13;62701
24;-20709
14;-58653
21;62410
20;-89766
21;-26359
1;-57879
11;-88249
9;-34042
8;-37550
3;-83821
7;12229
11;-58634
9;96445
13;-69368
10;44659
11;-41419
16;-63228
17;68326
6;85181
15;27510
25;99256
18;-5176
9;-98740
3;69021
20;-95558
17;-42964
6;-525
20;-25570
12;-93127
15;56357
25;29052
24;-36929
2;-90504
2;-80279
15;-89673
22;11153
3;-42086
12;-91177
22;86938
10;32885
3;-20772
24;83603
8;-73707
3;-5828
1;9672
3;-30330
21;-44767
9;-3178
12;-91146
6;16613
12;-20138
3;69598
3;-93253
14;45992
13;54046
10;37366
24;87919
17;-73926
12;36233
22;27864
16;-99166
1;86702
14;75962
22;88770
10;-70711
8;3421
7;-19393
13;-68642
22;-13681
25;99534
11;-1483
25;-47987
13;-20576
20;82161
17;-48415
1;-15092
24;32467
22;-7055
20;-64946
3;-2843
16;273
13;-63142
22;98078
1;-2542
4;52777
12;-28516
13;-81355
22;-89387
25;-10188
17;-14773
17;71482
19;88456
17;-88007
2;62542
6;57192
11;-88763
21;71464
5;24688
9;641
7;-897
1;-60729
18;-32146
25;87110
3;11382
13;-19133
20;9629
6;41368
14;77495
11;62182
3;-2854
12;48946
15;32574
23;-17066
18;-87205
11;82256
15;-49925
3;-26455
15;-76415
11;3414
12;37891
15;-85414
1;23424
4;-74097
21;45512
8;-61964
13;78367
18;-77773
4;-40891
22;18077
21;73939
25;-69339
3;73308
8;27328
6;69599
15;17796
11;-90216
11;-25444
20;87957
1;-1767
6;15400
18;-88931
18;-34887
6;99132
24;47852
7;88680
6;40124
24;87792
23;10254
18;71511
19;-25267
25;-98907
14;-54116
15;11310
8;31873
24;10751
16;-68057
22;21134
13;24857
24;55497
3;-87194
18;-81504
20;-77493
19;88222
22;-98616
5;-80737
9;8483
18;-56419
11;-62744
24;59178
24;33507
1;68395
12;-23416
22;-1564
13;99134
15;-4746
21;22523
25;38181
13;-52083
7;-39473
6;76824
1;49533
17;41438
22;9477
8;-91106
20;86141
25;12386
20;-51889
15;-24171
4;-59922
18;71674
9;91424
13;78853
21;38297
20;92305
13;-12669
22;50649
19;-34336
25;-57574
22;27942
16;56288
17;-30738
3;-83573
3;69299
3;-16521
4;-7206
8;-22463
24;-48918
23;-58298
24;73778
20;30388
9;75128
12;36219
7;-30238
20;97529
17;28656
23;-39571
21;-74222
8;57520
24;93603
23;82060
2;90120
23;42609
1;-25716
2;-83165
5;90882
9;17131
7;89800
7;-21531
18;78257
1;-60168
9;-45353
18;-91335
22;-67702
16;73843
8;-65804
3;94144
3;54968
10;-79619
6;92795
8;-10674
9;41501
10;89619
6;16874
6;-64059
3;64454
21;-2672
16;-13609
11;-47206
4;6373
2;84526
16;-88846
23;-46353
11;96999
10;75987
19;84539
9;3848
16;-71711
25;-9602
18;45498
6;42053
6;5010
25;40904
18;-78372
5;34122
1;-79852
10;-2822
6;52994
24;93511
12;-47238
8;55427
22;3830
13;-83029
20;2909
11;2042
9;-34116
5;-36742
3;-95151
23;88959
22;63176
11;-96511
17;-47605
15;66022
6;96966
25;-36167
10;-48936
10;-47651
1;-41970
11;50605
7;-31868
15;-50403
1;-30881
15;-68518
6;43804
13;-7863
14;-15936
22;7211
4;81470
19;-18664
10;27312
23;87661
4;-92747
5;-81498
4;57204
15;-64238
18;88326
8;-21807
22;-44841
3;-78897
1;29115
9;-74302
9;-11300
1;27853
6;-41417
19;86986
6;-73919
6;35289
23;70437
20;-21907
14;-30645
8;3724
20;-71042
10;-36462
25;59091
14;71279
3;22765
14;-43165
5;73767
6;-63111
3;-82293
8;27642
21;-11103
21;-87157
7;-50193
9;93402
24;81637
18;-38680
21;-76799
9;-27723
2;34292
18;-20301
9;16728
6;76408
9;38379
7;-80389
22;-64711
15;-60036
19;78961
10;-44320
10;42974
24;-65889
20;7330
7;76128
13;-81054
2;-65418
23;27561
13;-92070
9;-94034
20;-33222
22;2711
20;88357
23;74659
6;37433
7;78203
6;4929
5;-98227
9;-47692
6;38760
14;-58747
1;-37661
4;88309
5;49396
17;-9269
13;-90769
15;-76996
11;-12607
17;-20498
10;-17466
22;-21119
19;-26385
3;-81659
7;-31056
20;-88826
23;1479
18;51858
10;56106
14;-85625
1;-28857
9;48292
9;90640
25;29062
13;32935
7;82247
13;33787
6;-80856
10;-30154
25;43420
9;42061
7;85676
10;75958
10;-23200
13;-46428
14;-48808
23;-34348
20;17835
11;90422
3;-57101
12;-66583
12;-28299
25;90964
3;22998
16;-24528
23;-85377
17;-69212
14;86437
2;-43957
3;-19564
10;-47492
20;26458
22;42086
11;63272
10;12294
7;-52784
9;-52102
14;25277
21;-78536
6;-65662
20;-70587
12;-50393
15;11828
17;-32446
21;-92948
1;-2846
16;-82120
3;71367
14;39702
25;-72743
21;51418
22;-7432
25;-1472
14;-96551
3;-69125
13;-74742
4;93495
5;66225
18;-98739
22;39323
24;-24850
6;10246
15;80138
13;24159
15;63444
1;-16311
2;92541
13;-44090
14;55940
9;25399
21;36748
24;-66670
3;-73070
9;-85110
16;24488
1;-8641
6;50094
20;-80110
16;96172
7;25119
25;-35397
1;72224
21;-23187
7;32846
1;-20822
20;9691
21;-70984
16;-34748
3;-69124
7;71546
14;-20732
20;-16345
20;-95895
20;62708
18;-46058
6;-54253
20;-10659
20;21247
22;-36247
17;15703
4;52693
10;-64850
24;-56554
23;-91429
22;77969
13;27836
10;58449
14;96928
3;26439
14;-14014
23;-88950
2;70692
19;-17568
14;-39089
20;29969
24;70822
9;-41275
19;-71788
10;47842
18;-68710
25;-6514
14;-47874
2;-69341
25;-16052
19;78241
1;87657
8;-6056
2;-23756
1;88451
9;79012
18;77329
5;-29752
20;-96878
21;30473
17;-81256
21;54222
24;-88629
21;-52790
12;75698
5;-70756
15;-55360
5;-8781
12;94355
16;57163
25;46626
4;62152
24;20901
6;-91588
21;-6478
21;-28487
11;-11315
25;32430
7;30737
16;66935
21;-68494
1;25278
24;-4567
2;33129
10;82780
17;-2296
13;4792
10;60795
4;55883
7;17728
5;39519
16;11097
2;96207
14;82336
3;-10
11;41936
3;-19710
21;3035
16;61646
21;-86538
5;-86722
4;6344
7;64413
15;41732
20;8326
18;-24710
12;-76603
23;37325
22;-23932
4;65161
12;-25596
9;-95948
9;-91423
13;83596
18;-27352
15;19457
18;-3227
12;2160
23;86356
20;38352
1;49298
9;-44936
21;-88667
15;-15965
8;-34350
3;49018
20;-3817
5;-54742
16;28073
9;15999
1;59265
14;-16765
25;80429
9;-10492
14;-73248
5;-8282
16;75417
18;-49509
20;-23751
22;-25039
21;45766
23;-90588
18;48432
23;50466
6;-68001
14;-18106
10;-16236
19;70672
6;-69525
21;4330
8;-1859
4;1506
18;574
23;86868
24;-9591
17;-55605
6;-12607
17;26665
20;-90185
12;936
3;-33746
3;-59804
5;42335
8;16519
20;-83240
6;58579
4;83546
12;52968
13;43407
21;-59994
8;83363
22;-71872
9;-78981
25;-54875
23;-36952
19;-51551
8;-73678
3;-19397
20;-94805
5;35794
24;-31867
2;49100
13;-23254
10;10392
23;92286
11;-57889
9;92119
14;55889
12;94517
22;20208
17;-84490
12;-14908
13;-79880
13;76806
11;6635
24;67401
21;29938
2;-36624
25;19870
8;-79141
9;-76806
16;-81976
16;59693
9;-64621
5;32260
17;-22247
6;-98420
14;1434
6;10356
24;-57095
2;71366
16;11868
12;-61068
11;48034
6;1201
5;-10419
24;-67306
4;-25667
22;40469
5;-53378
6;13146
8;-27718
3;-54338
10;-62297
11;-73573
10;-94943
19;-73139
18;43253
19;31851
2;17761
25;-42176
2;28962
15;-81678
11;-34654
8;-57167
12;-50248
16;82453
18;-73167
18;18648
7;13205
17;78810
20;20182
24;-79867
8;20227
13;79675
6;-3357
11;-33710
13;79896
11;68911
11;79949
24;-73149
23;-2092
15;-13931
15;80827
3;-26546
21;24706
25;-62950
11;-98758
6;-16959
23;-88029
14;-92555
11;-77497
9;26308
21;-13200
4;-60672
1;68958
5;-11691
19;-73384
6;29232
15;12102
20;-79488
23;67685
8;44822
18;38669
16;32716
25;47496
20;-61956
20;52058
9;30381
3;-65917
11;63465
19;72208
8;-23878
12;46824
6;87709
14;90156
1;37592
15;-50509
16;-90539
1;93492
5;-91368
22;-34436
18;-49133
3;38952
3;68722
11;1779
1;-23104
5;-68697
16;-69436
8;-94572
10;71535
23;37977
18;7421
18;14200
12;-15985
23;49481
20;99896
19;76184
12;-31443
8;19153
22;-33818
21;-10786
22;38023
10;3957
16;46240
13;72191
16;-17590
19;67791
10;18936
13;41239
17;25385
1;43214
7;44101
19;17854
19;25554
14;-85480
9;3699
11;15504
6;28466
15;68406
9;31054
1;27836
19;-10520
7;93020
10;-47834
13;1681
15;-10590
7;-84166
20;-27691
4;-50363
25;-536
7;-42337
9;-27745
3;54534
7;29662
3;47394
3;-69671
16;75092
19;14007
1;72616
25;-74019
4;-52254
7;3082
18;77075
4;70062
18;-62680
23;-55464
25;-96278
15;-53314
9;44461
24;46013
23;2586
3;-88351
6;-31110
23;557
17;12842
18;44683
22;85875
15;-13612
3;-73788
9;-34755
13;64017
13;68209
2;-9138
16;70717
18;-30216
5;97855
19;69265
22;72558
14;-37929
13;-70715
4;26863
3;24736
12;-9211
20;27787
25;-46665
23;-84171
9;26958
1;58760
14;20892
6;-2394
21;55310
24;-51636
22;98510
4;-14240
18;-34875
22;52631
15;-74473
10;-2967
18;-59925
8;60008
22;78408
14;-32458
16;99775
6;14546
21;81862
2;76333
24;16679
21;63522
14;-95483
3;-16798
8;69206
6;-94965
15;74322
23;-31106
18;65399
3;-41169
25;15394
22;32600
15;18934
18;36765
1;38494
17;31016
24;-44889
4;38999
11;-16397
8;55494
25;69862
23;-97286
21;-72620
16;79653
19;-15994
13;73208
10;1376
2;22688
3;-72861
17;58124
4;48041
8;99736
2;9724
8;-34547
19;59183
14;-78649
9;46331
17;23545
11;67884
7;-91766
5;-70012
15;-23252
2;-54464
19;98589
20;-65365
5;59960
5;7287
24;-33829
21;-7683
6;-24173
21;-98409
25;75254
14;59463
17;86343
20;-22647
22;40991
13;-53094
2;-65513
19;-43486
10;36670
11;-78402
21;69201
22;94828
12;-65398
19;71177
17;73861
21;-72463
1;-98471
15;25020
7;16675
20;38542
13;50436
4;-48182
10;-71710
8;92494
6;-4930
15;-80664
9;-95391
2;30423
16;-98066
12;-79945
9;-10811
17;51511
12;-22706
8;-35668
25;-72172
17;-90717
15;3703
1;6987
10;-61376
21;-82251
6;64482
5;2620
11;78489
8;-78336
9;-91069
14;78815
23;82466
8;20426
17;-17535
10;13042
24;42516
4;-39394
9;-36638
11;-13186
4;52537
3;75373
14;-19688
14;-89331
18;69514
17;-94347
3;-11410
21;-55057
25;37061
17;-66912
16;-89489
24;87389
7;13590
24;68197
8;46518
19;41739
1;22693
18;78585
18;95526
22;73887
8;87400
1;-52243
18;-11296
1;-73181
14;-29057
13;-41504
10;-68479
24;-48898
9;89411
19;84048
13;5756
21;-66209
22;21486
6;-87303
19;80782
14;-36743
15;72198
2;-2644
4;-42063
13;-35894
2;80968
8;-93881
22;78437
16;-66381
23;19251
21;-72224
19;-1483
2;53805
14;40860
3;-36461
25;-24492
13;18703
15;-19132
4;-27130
24;-21273
1;-80429
4;15840
23;-72740
22;-9352
24;26264
7;95290
22;-67408
18;12717
23;74966
7;98813
2;55791
20;-3729
6;-16126
23;91991
4;52153
22;-18147
20;67367
12;-61268
24;-41798
12;89152
21;83715
18;97947
12;-90210
20;-8802
7;-30723
24;-68841
16;-34348
14;46914
19;-26398
20;-95699
12;70397
23;49557
8;-5888
20;-93258
9;-66600
17;90624
5;-37251
17;20913
4;-82886
14;-82682
22;-54999
24;23918
2;90108
17;52892
22;27550
14;98994
24;6950
17;-36041
8;-30545
9;-86339
23;4627
16;67705
19;36665
18;72176
13;14560
25;23564
2;-99895
6;76153
20;-8698
25;-2719
25;88226
20;-89407
21;18194
14;94460
21;12141
16;-14887
25;-69641
3;926
4;-5336
2;39215
13;-89309
12;-9305
10;22082
13;14950
24;18279
25;7084
20;82590
8;-46009
18;-19419
3;-707
8;98436
8;-18851
5;-59804
6;10813
13;19991
17;-72408
18;-10460
8;-38737
3;-67434
11;-47050
2;23240
16;19159
20;-56609
8;-49351
5;-12066
1;14533
5;93453
17;79425
21;-2916
19;59086
23;67367
15;-21665
7;29467
15;35625
17;59410
8;-653
22;-63671
4;8311
25;-79458
14;-9621
7;64789
17;-4667
20;36561
10;92101
6;19987
14;-6771
9;87908
5;-131
15;29881
7;93856
25;1728
6;21063
2;-49074
7;-16918
9;93014
16;-38766
18;-72504
11;-17780
13;-59794
3;60674
16;64518
21;76004
17;30067
2;-11484
21;24809
22;-86899
24;-40155
25;-23917
9;-60239
22;-78783
14;-42815
3;-52597
10;-42530
5;-14396
9;-15240
1;81218
9;-26719
1;47186
15;12527
21;-46480
1;29704
23;80378
25;-95559
23;75681
9;-41561
19;-37038
7;77346
4;71752
15;70845
6;-78429
2;92132
5;-13302
5;30443
15;-60701
9;41423
7;-21483
25;-50422
12;-38987
7;-5120
10;20834
12;-84266
25;-25302
12;-25683
16;28183
7;-15383
1;-72651
24;41293
18;57670
25;-72224
4;19794
23;28878
20;-4900
9;8140
17;61780
12;81416
23;40632
20;39611
23;63009
7;-77030
13;50557
7;45311
16;-8
11;-21312
20;41336
22;21973
15;-60610
20;84900
21;97305
3;-42963
10;-62975
13;1004
8;51173
16;25147
25;45433
18;30546
8;71435
5;25949
11;-14490
2;1149
13;-81854
19;37959
23;36210
23;-39260
12;11053
17;3734
6;-50007
18;-81910
7;-34392
20;47082
3;19359
21;-12720
17;64228
4;70656
12;70345
10;64523
14;-37768
5;-52439
8;86100
8;-12114
9;43369
5;23104
4;82960
20;35166
14;88488
18;19733
23;-85475
21;-39105
4;-1343
16;-38432
11;-10424
18;31222
8;-99559
20;5521
13;-21345
22;21054
1;61417
23;47704
19;99417
24;-48052
23;90105
8;-43243
21;10070
8;53520
11;-23483
7;46630
6;89124
15;-71553
13;97671
24;66992
16;-12598
9;-12019
14;81559
15;-4362
6;-76343
1;-27514
19;74500
23;-5155
16;35292
1;-76145
11;-46103
5;27747
15;-62666
11;51617
5;-2092
23;-11745
11;-63594
21;-69196
23;-48
14;46574
24;38599
17;58108
7;-30508
13;60508
5;32908
16;52527
5;-91611
20;70030
22;-14791
19;36249
7;71335
12;-50302
7;10150
7;-76370
12;-33295
4;16845
2;71338
23;70317
13;-15007
7;-63943
16;27788
22;-98219
12;-66505
17;-42454
24;-22521
4;-74485
3;7526
24;-67116
11;-93706
13;33714
15;3911
10;32133
8;95666
21;-38117
12;-51034
6;93541
22;-15629
3;14012
7;78682
12;14752
19;-29981
4;-86114
13;91450
12;-46433
3;44751
16;-70937
23;72009
22;-76070
18;10493
4;75980
24;-39755
14;63778
10;84048
20;-55417
9;-11419
10;-53058
11;-32309
24;-83369
23;-51589
7;5316
20;-46037
23;46551
15;17459
23;88853
14;-52396
20;49076
4;14585
3;-6260
17;-16117
21;54049
17;-48365
5;70580
13;71600
14;-31707
2;74514
6;-81875
22;68797
10;28492
14;21839
6;-17830
23;62117
16;9068
6;22012
25;-19478
4;-6526
20;58114
1;85720
4;32348
3;-68603
21;63184
12;-26386
14;-93830
4;68069
22;55797
16;47690
5;67978
21;-39838
14;95644
13;90549
22;-86038
21;26446
1;-85040
24;-93855
15;-76563
19;-14828
9;13514
11;-31012
10;-53230
17;97395
16;-2345
19;-83947
13;57247
16;91128
19;60790
8;60641
23;16052
20;58968
17;-10177
25;8958
12;-18638
21;-1281
4;-32030
5;-25983
14;50016
1;-14272
24;-48858
3;1162
21;-16626
14;26656
17;-1805
25;97931
8;-49718
24;-81122
7;-57920
5;-45606
17;69010
17;92575
8;16744
22;76613
22;-57224
7;-85893
7;48724
11;-91072
1;47776
6;-18679
22;20131
13;75265
1;-69792
25;-26918
13;-17194
15;-49911
25;-67025
16;34522
18;80646
1;-15864
10;4621
21;92179
22;-53592
1;-9837
13;86744
15;99779
21;-64808
6;-82159
25;5846
25;-99112
23;28528
19;88303
13;56070
18;93221
8;-25881
25;20799
8;31894
3;89551
14;2747
24;78293
1;-52959
24;-70200
3;17429
10;651
23;9907
23;65739
4;13747
15;-44106
9;-64625
22;-48713
15;38068
19;-62385
1;56490
4;90523
23;-90395
24;55289
8;80118
8;46679
7;53222
10;60825
7;-61977
12;-64640
20;-63226
25;-96498
11;16754
13;48938
6;5347
6;96994
23;-46908
12;-23489
10;49303
25;11953
13;-99424
23;38187
8;-94621
7;-83889
21;-55195
14;23633
6;34697
1;-14890
7;-92098
19;2920
22;98079
5;-90244
14;52032
22;-67598
23;-80345
25;97445
4;-59127
22;-12779
4;15639
25;34858
13;-74811
15;-30723
24;11433
22;-18233
22;70294
18;-60905
9;67042
25;20155
5;19579
2;10323
6;-32745
11;-50305
5;-44653
1;-47809
8;-9303
20;89856
23;-38108
20;-1510
22;58704
2;-73556
4;-2778
12;85479
3;49337
15;37409
22;-68035
15;-76382
9;89555
6;2668
6;26895
18;60305
1;-54591
19;-48360
19;32562
15;94842
20;56699
15;89026
7;98221
16;-99438
16;30538
14;99401
20;-53462
17;-84345
22;99306
20;29831
18;-16220
24;-52491
23;-97107
1;-73266
4;41345
14;-6291
21;-68423
18;-8905
14;75933
10;39022
15;11283
15;63816
1;44442
9;-37793
16;63188
9;-26927
15;-58787
6;-98189
16;-40358
7;-92142
7;64058
2;38963
12;71815
1;-64760
21;54353
7;-44414
12;-10981
22;-85678
8;30517
2;27315
16;59216
23;-95044
18;-29068
20;76853
3;60511
7;34153
21;-9417
24;-76118
18;33876
2;50230
24;-85201
22;-54793
1;59283
19;-67499
16;-63756
6;64052
1;-48934
14;-75285
8;34162
21;13659
21;37422
7;89192
6;-49644
12;12861
24;76589
16;-56119
21;-86279
14;22432
25;9923
6;-2832
11;41205
5;84922
11;-73822
13;69155
1;-93965
12;51497
23;-57861
14;-77648
3;-86821
21;-5863
19;6425
1;-91830
4;-14815
23;50022
3;-85179
12;61451
13;-64521
12;-79962
14;-66940
15;2783
24;-12576
10;-29733
4;-77218
21;-33786
19;47448
15;-15336
20;-63433
7;-25029
2;43872
14;98566
1;97117
24;-73730
4;36442
15;25793
6;21235
1;29532
1;21018
23;66092
10;-22928
14;88726
10;-93849
17;25617
10;-58628
21;32561
23;-54162
4;-37079
22;-84838
12;95194
9;-57943
20;-57482
20;90970
18;-23612
3;16404
11;-60617
15;-84963
14;-63566
20;90944
12;-47033
20;76811
13;-5609
2;-37414
20;7229
9;-32306
16;63856
16;-84116
7;-24155
3;2800
22;-32809
24;-21449
7;4777
8;2751
17;-89991
10;-575
9;-69600
23;-55081
1;-83053
16;-18298
15;82723
7;-84318
9;61126
13;-90178
6;-80109
17;39723
12;76076
3;53432
22;2931
20;48373
18;5965
24;-65297
11;-37854
9;-50040
1;-17063
8;-53269
3;73060
22;42336
6;-85816
21;24703
24;98210
18;63702
10;70600
19;15778
11;-1338
4;-23091
23;90374
11;-42367
8;75188
5;16622
7;9418
15;-88394
10;-84700
8;-95186
12;-74654
16;9261
3;23342
22;83203
9;-98844
18;38249
14;50846
11;-83691
13;22043
11;11259
4;55385
19;54846
15;80275
17;98736
25;-50887
4;90429
16;-72578
6;-91462
5;-2722
10;-75487
25;-41613
14;31004
9;78284
22;22974
22;-86819
21;-5967
4;47052
12;-55377
22;-62251
12;81623
19;77818
17;62815
23;50401
6;-88457
13;67180
25;-88649
11;41046
20;98286
12;-41483
10;-50552
19;-72795
2;35999
1;-99889
11;95109
18;93480
1;-12718
11;-3035
24;-5558
3;-50491
9;98905
16;6199
5;-89292
18;-67569
7;73386
9;28268
21;35066
6;64535
10;-79718
12;-14999
8;-55548
9;76204
12;99241
7;6965
2;65580
15;-80751
14;84186
20;-97630
15;-89302
5;78339
2;12257
18;-86682
22;21012
18;23869
25;-6649
5;13737
19;-13541
17;32760
10;51002
9;67964
17;-28445
23;-7743
24;39291
18;-90051
24;-47540
12;-20518
17;19826
4;-37013
23;-88986
8;-93531
15;52719
12;-39781
25;99118
8;60399
3;-74484
2;-91656
8;-56481
11;-97256
13;86937
2;-70274
11;86581
13;6176
9;-98057
7;-32525
11;-65467
10;-46192
2;-55438
5;67130
22;32777
9;-78889
7;-60488
21;69104
7;-18007
21;58624
18;48303
12;-18741
20;-97591
21;10072
10;10676
17;14855
7;-22388
20;-25419
9;-18706
9;-49990
18;78188
5;-76567
16;61159
21;34767
25;-2958
2;-29362
3;51970
23;10877
25;-88461
25;-76019
18;-18958
25;-9413
19;-30488
7;81749
11;-4552
12;-43035
9;84436
6;39425
17;5090
7;67508
23;-7527
2;91175
5;13523
22;88945
14;12622
13;46958
13;-94967
7;88733
2;-90677
20;-84313
6;-26933
8;45787
9;4000
25;69591
4;-16600
21;28637
22;-9391
11;65173
25;20804
20;-30578
25;-4953
2;74344
13;-45668
21;-10072
4;97184
1;-19086
25;9858
17;-24117
10;58657
22;9175
14;-39457
